słowo;waga
fajny;2
wygodny;1
świetny;3
wspaniały;3
cudowny;3
malowniczy;2
piękny;3
ujmujący;2
urzekający;2
zadziwiający;3
zapierający dech w piersiach;3
oszałamiający;3
zdumiewający;2
ładny;1
prosty;1
łagodny;1
sympatyczny;1
urokliwy;2
majestatyczny;2
miły;1
dobry;1
ciekawy;1
przyjemny;1
bezpieczny;1
znakomity;2
cudny;2
ambitny;1
piękno;1
widowiskowy;2
warto;1
ekstra;2
genialny;2
ulubiony;1
sielanka;2
super;2
fantastyczny;3
urzekać;2
niezapomniany;2
:D;1
:);1
";)";1
";D";1
bylejaki;-1
koszmar;-3
klapa;-2
zawód;-2
rozczarowywwujący;-2
rozczarowanie;-2
głupi;-1
koszmarny;-3
beznadziejny;-3
zbyt trudny;-2
nieprzygotowany;-2
brzydki;-1
okropny;-2
zły;-1
mógłby być lepszy;-1
nudny;-1
zatłoczony;-1
nieciekawy;-1
zwyczajny;-1
wstrętny;-3
bolesny;-2
niekorzystny;-1
agresywny;-1
przerażający;-3
paskudny;-2
straszny;-2
nieprzyjemny;-1
niebezpieczny;-2
groźny;-2
przytłaczający;-2
tłumny;-1
strata czasu;-2
niewygodny;-1
histeria;-3
przeciętny;-1
wredny;-2
upierdliwy;-2
monotonny;-1
mozolny;-1
uciążliwy;-2
:C;-1
";C";-1
:(;-1
";(";-1
